ship,area,date,trip_no,is_cancellation,tsuri_mono_raw,tsuri_mono,main_sub,fish_raw,time_slot,cnt_min,cnt_max,cnt_avg,is_boat,size_min,size_max,kg_min,kg_max,tackle,point_place1,point_place2,point_place3,depth_min,depth_max,water_temp_min,water_temp_max,water_color,wind_direction,wind_speed,tide_info,wave_info,weather,by_catch,cancel_reason,cancel_type,kanso_raw,suion_raw,suishoku_raw
ちがさき丸,茅ヶ崎港,2023/05/27,3,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,0,4,2,0,22,32,,,,茅ヶ崎沖,,,,,,,,,,,,,"大型カワハギ,ホウボウも交じって釣れました",,,アタリが少なかった。他に大型カワハギ・ホウボウも交じって釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/27,4,0,アジ,アジ,メイン,アジ,,9,70,39,0,23,32,,,,二ノ宮沖,,,,,,,,,,,,,,,,中型主体で釣れましたよ～!!数に差がありますが、お土産ゲット。。,,
ちがさき丸,茅ヶ崎港,2023/05/26,1,0,シロギス,シロギス,メイン,シロギス,,4,57,30,0,12,23,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/26,2,0,タイ五目,タイ五目,メイン,クロダイ,,0,4,2,0,,,0.8,1.5,,茅ヶ崎沖～亀城根,,,,,,,,,,,,,"イサキ,イシダイも",,,タイ五目。今日はマダイ0.5kg1匹のみ。,,
ちがさき丸,茅ヶ崎港,2023/05/26,2,0,タイ五目,タイ五目,メイン,メジナ,,3,10,6,0,,,0.8,1.2,,,,,,,,,,,,,,,"イサキ,イシダイも",,,タイ五目。今日はマダイ0.5kg1匹のみ。,,
ちがさき丸,茅ヶ崎港,2023/05/26,3,0,タイ五目,タイ五目,メイン,イサキ,,8,22,15,0,15,24,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,LT五目。今日は初心者様が多く、なかなか魚群が捕まらず苦戦…。,,
ちがさき丸,茅ヶ崎港,2023/05/25,1,0,タイ五目,タイ五目,メイン,イサキ,,12,38,25,0,16,24,,,,茅ヶ崎沖,,,,,,,,,,,,,カワハギ,,,LT五目。今日は朝からアジ好調!!金アジポツポツ釣れました!!今日は後半タカベはいまいちでしたが、イサキも入れ喰い!!泳がせもアタリ多数!!2kgオーバーのヒラメ目の前バラシ…!!他泳がせアタリ13回!! 2 15～20mを流す。,,
ちがさき丸,茅ヶ崎港,2023/05/25,1,0,タイ五目,タイ五目,メイン,アジ,,4,22,13,0,19,26,,,,,,,,,,,,,,,,,カワハギ,,,LT五目。今日は朝からアジ好調!!金アジポツポツ釣れました!!今日は後半タカベはいまいちでしたが、イサキも入れ喰い!!泳がせもアタリ多数!!2kgオーバーのヒラメ目の前バラシ…!!他泳がせアタリ13回!! 2 15～20mを流す。,,
ちがさき丸,茅ヶ崎港,2023/05/25,2,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,0,4,2,0,25,32,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/25,3,0,タイ五目,タイ五目,メイン,マダイ,,,,,0,,,,,,茅ヶ崎沖～亀城根,,,,,,,,,,,,,"イサキ,ハナダイは釣れました",,,タイ五目。本日マダイは型見ず。,,
ちがさき丸,茅ヶ崎港,2023/05/25,3,0,タイ五目,タイ五目,メイン,クロダイ,,0,6,3,0,,,0.7,1.6,,,,,,,,,,,,,,,"イサキ,ハナダイは釣れました",,,タイ五目。本日マダイは型見ず。,,
ちがさき丸,茅ヶ崎港,2023/05/25,3,0,タイ五目,タイ五目,メイン,メジナ,,1,4,2,0,,,0.7,1.2,,,,,,,,,,,,,,,"イサキ,ハナダイは釣れました",,,タイ五目。本日マダイは型見ず。,,
ちがさき丸,茅ヶ崎港,2023/05/24,1,0,シロギス,シロギス,メイン,シロギス,,66,85,75,0,14,23,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/24,2,0,タイ五目,タイ五目,メイン,マダイ,,0,1,0,0,,,1.3,1.3,,茅ヶ崎沖,,,,,,,,,,,,,"クロダイ,メジナ,イサキと釣れました",,,タイ五目。1日全体的に喰いはイマイチでしたが、マダイと、他にクロダイ・メジナ・イサキと釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/24,3,0,タイ五目,タイ五目,メイン,イサキ,,12,26,19,0,17,24,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,LT五目。今日はアジが仕掛けを嫌ってしまい苦戦でしたが、イサキ・タカベ入れ喰い!!2時間足らずでお土産できました!!。,,
ちがさき丸,茅ヶ崎港,2023/05/24,3,0,タイ五目,タイ五目,メイン,タカベ,,17,32,24,0,12,21,,,,,,,,,,,,,,,,,,,,LT五目。今日はアジが仕掛けを嫌ってしまい苦戦でしたが、イサキ・タカベ入れ喰い!!2時間足らずでお土産できました!!。,,
ちがさき丸,茅ヶ崎港,2023/05/24,4,0,アジ,アジ,メイン,アジ,,12,15,13,0,30,40,,,,二ノ宮沖,,,,,,,,,,,,,,,,サメに取られましたが、何とかお土産ゲット。。,,
ちがさき丸,茅ヶ崎港,2023/05/22,1,0,タイ五目,タイ五目,メイン,クロダイ,,0,4,2,0,,,0.8,1.6,,茅ヶ崎沖～亀城根,,,,,,,,,,,,,"ハナダイ,イサキ等で五目釣り",,,タイ五目。本日マダイは釣れず。,,
ちがさき丸,茅ヶ崎港,2023/05/22,1,0,タイ五目,タイ五目,メイン,メジナ,,2,8,5,0,,,0.7,1.2,,,,,,,,,,,,,,,"ハナダイ,イサキ等で五目釣り",,,タイ五目。本日マダイは釣れず。,,
ちがさき丸,茅ヶ崎港,2023/05/22,2,0,シロギス,シロギス,メイン,シロギス,,13,23,18,0,14,22,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/22,3,0,アジ,アジ,メイン,アジ,,11,29,20,0,32,38,,,,二ノ宮沖,,,,,,,,,,,,,,,,釣れましたよ。。,,
ちがさき丸,茅ヶ崎港,2023/05/22,4,0,タイ五目,タイ五目,メイン,アジ,,6,14,10,0,24,28,,,,茅ヶ崎沖,,,,,,,,,,,,,"タカベ,サバ等,平均10匹ずつ持って帰れました!!",,,LT五目。今日はほぼ全員が初心者の方でしたがアジ・イサキ、他にタカベ・サバ等、平均10匹ずつ持って帰れました!!。,,
ちがさき丸,茅ヶ崎港,2023/05/22,4,0,タイ五目,タイ五目,メイン,イサキ,,12,18,15,0,15,27,,,,,,,,,,,,,,,,,"タカベ,サバ等,平均10匹ずつ持って帰れました!!",,,LT五目。今日はほぼ全員が初心者の方でしたがアジ・イサキ、他にタカベ・サバ等、平均10匹ずつ持って帰れました!!。,,
ちがさき丸,茅ヶ崎港,2023/05/21,1,0,タイ五目,タイ五目,メイン,マダイ,,0,1,0,0,,,1.5,2.4,,茅ヶ崎沖,,,,,,,,,,,,,も型の良いのが,,,タイ五目。良型2.4kg釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/21,2,0,フグ,フグ,メイン,ショウサイフグ,,0,9,4,0,22,35,,,,茅ヶ崎沖,,,,,,,,,,,,,"ヒラメ,カワハギ,ホウボウ交じった",,,ショウサイフグ2番手8匹。トラフグ大型バラシあり。,,
ちがさき丸,茅ヶ崎港,2023/05/21,2,0,フグ,フグ,メイン,トラフグ,,1,1,1,0,,,,,,,,,,,,,,,,,,,"ヒラメ,カワハギ,ホウボウ交じった",,,ショウサイフグ2番手8匹。トラフグ大型バラシあり。,,
ちがさき丸,茅ヶ崎港,2023/05/21,3,0,タイ五目,タイ五目,メイン,アジ,,10,32,21,0,20,31,,,,茅ヶ崎沖,,,,,,,,,,,,,"メジナ,ハナダイ,タカベ",,,LT五目・仕立船・2隻の釣果。他にメジナ・ハナダイ・タカベ・アマダイ・ムシガレイ・カワハギ。,,
ちがさき丸,茅ヶ崎港,2023/05/21,3,0,タイ五目,タイ五目,メイン,イサキ,,10,20,15,0,18,24,,,,,,,,,,,,,,,,,"メジナ,ハナダイ,タカベ",,,LT五目・仕立船・2隻の釣果。他にメジナ・ハナダイ・タカベ・アマダイ・ムシガレイ・カワハギ。,,
ちがさき丸,茅ヶ崎港,2023/05/20,1,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,0,6,3,0,20,36,,,,茅ヶ崎沖,,,,,,,,,,,ウネリあり,,カワハギ,,,エボシ回りの15～25mを流す。ウネリあり。,,
ちがさき丸,茅ヶ崎港,2023/05/20,1,0,ショウサイフグ,ショウサイフグ,メイン,トラフグ,,3,3,3,0,,,,,,,,,,,,,,,,,ウネリあり,,カワハギ,,,エボシ回りの15～25mを流す。ウネリあり。,,
ちがさき丸,茅ヶ崎港,2023/05/20,2,0,シロギス,シロギス,メイン,シロギス,,10,32,21,0,15,23,,,,茅ヶ崎沖～10m,,,7.0,7.0,,,,,,,,,"メゴチ,ホウボウ",,,仕立船・11人の釣果。シロギスポツポツ釣れる。,,
ちがさき丸,茅ヶ崎港,2023/05/20,3,0,タイ五目,タイ五目,メイン,マダイ,,,,,0,,,,,,亀城根,,,,,,,,,,,,,"クロダイ,イサキ等",,,タイ五目。本日マダイは顔見れず。,,
ちがさき丸,茅ヶ崎港,2023/05/20,3,0,タイ五目,タイ五目,メイン,メジナ,,2,10,6,0,,,0.7,1.3,,,,,,,,,,,,,,,"クロダイ,イサキ等",,,タイ五目。本日マダイは顔見れず。,,
ちがさき丸,茅ヶ崎港,2023/05/19,1,0,タイ五目,タイ五目,メイン,マダイ,,0,3,1,0,,,0.7,1.2,,茅ヶ崎沖,,,,,,,,,,,,,"クロダイ,メジナ,イサキ",,,タイ五目。今日はマダイも釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/19,2,0,シロギス,シロギス,メイン,シロギス,,14,45,29,0,15,24,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,一日ポツポツと顔見れシロギス大漁!!トップ2人でした!!,,
ちがさき丸,茅ヶ崎港,2023/05/19,3,0,アジ,アジ,メイン,アジ,,18,67,42,0,27,38,,,,二ノ宮沖,,,,,,,,,,,,,,,,今日は釣れました。。,,
ちがさき丸,茅ヶ崎港,2023/05/18,1,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,0,5,2,0,22,34,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/18,1,0,ショウサイフグ,ショウサイフグ,メイン,トラフグ,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/18,2,0,タイ五目,タイ五目,メイン,イサキ,,10,26,18,0,15,26,,,,茅ヶ崎沖,,,,,,,,,,,,,"サバ,ハチビキ等",,,LT五目。魚種多数!!五目達成!!他にサバ・ハチビキ等。,,
ちがさき丸,茅ヶ崎港,2023/05/18,2,0,タイ五目,タイ五目,メイン,アジ,,10,16,13,0,,,,,,,,,,,,,,,,,,,"サバ,ハチビキ等",,,LT五目。魚種多数!!五目達成!!他にサバ・ハチビキ等。,,
ちがさき丸,茅ヶ崎港,2023/05/18,2,0,タイ五目,タイ五目,メイン,タカベ,,8,12,10,0,,,,,,,,,,,,,,,,,,,"サバ,ハチビキ等",,,LT五目。魚種多数!!五目達成!!他にサバ・ハチビキ等。,,
ちがさき丸,茅ヶ崎港,2023/05/18,3,0,アジ,アジ,メイン,アジ,,10,17,13,0,20,24,,,,二宮沖～鎌倉沖,,,,,,,,,,,,,,,,何とか釣れお土産ゲット。。,,
ちがさき丸,茅ヶ崎港,2023/05/18,4,0,タイ五目,タイ五目,メイン,マダイ,,,,,0,,,,,,茅ヶ崎沖～亀城根,,,,,,,,,,,,,イサキは釣れました,,,タイ五目。今日は潮流れが速く釣りにくかったです。,,
ちがさき丸,茅ヶ崎港,2023/05/18,4,0,タイ五目,タイ五目,メイン,クロダイ,,0,2,1,0,,,1.0,1.2,,,,,,,,,,,,,,,イサキは釣れました,,,タイ五目。今日は潮流れが速く釣りにくかったです。,,
ちがさき丸,茅ヶ崎港,2023/05/18,4,0,タイ五目,タイ五目,メイン,メジナ,,2,5,3,0,,,0.8,1.2,,,,,,,,,,,,,,,イサキは釣れました,,,タイ五目。今日は潮流れが速く釣りにくかったです。,,
ちがさき丸,茅ヶ崎港,2023/05/17,1,0,タイ五目,タイ五目,メイン,マダイ,,0,1,0,0,,,0.7,3.1,,亀城根,,,,,,,,,,,,,"クロダイ,メジナ,イサキ等です",,,タイ五目。マダイの良型釣れたよー!!メジナは全員釣れてお土産になりました。,,
ちがさき丸,茅ヶ崎港,2023/05/17,2,0,タイ五目,タイ五目,メイン,イサキ,,10,60,35,0,16,26,,,,茅ヶ崎沖,,,,,,,,,,,,,"アジ,タカベ,サバ交じり大漁!!",,,LT五目。クーラー満タンでした!!他にアジ・タカベ・サバ交じり大漁!!。,,
ちがさき丸,茅ヶ崎港,2023/05/17,3,0,シロギス,シロギス,メイン,シロギス,,7,17,12,0,14,23,,,,茅ヶ崎沖,,,,,,,,,,,,,メゴチ,,,型は平均良かったが、あまり数が伸びませんでした。他にメゴチ。,,
ちがさき丸,茅ヶ崎港,2023/05/17,4,0,アジ,アジ,メイン,アジ,,6,23,14,0,24,38,,,,二宮沖,,,,,,,,,,,,,サバ,,,反応ありますが喰いが今一つでしたが、型の良いアジ交じりなのでお土産はゲット。他にサバ。,,
ちがさき丸,茅ヶ崎港,2023/05/15,1,0,タイ五目,タイ五目,メイン,クロダイ,,2,11,6,0,,,0.8,1.6,,茅ヶ崎沖,,,,,,,,,,,,,イサキ等です,,,タイ五目船。マダイ・ハナダイは小型サイズ。,,
ちがさき丸,茅ヶ崎港,2023/05/15,1,0,タイ五目,タイ五目,メイン,メジナ,,1,6,3,0,,,0.8,1.2,,,,,,,,,,,,,,,イサキ等です,,,タイ五目船。マダイ・ハナダイは小型サイズ。,,
ちがさき丸,茅ヶ崎港,2023/05/15,1,0,タイ五目,タイ五目,メイン,マダイ,,0,1,0,0,,,0.4,0.4,,,,,,,,,,,,,,,イサキ等です,,,タイ五目船。マダイ・ハナダイは小型サイズ。,,
ちがさき丸,茅ヶ崎港,2023/05/14,1,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,2,13,7,0,20,34,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/14,1,0,ショウサイフグ,ショウサイフグ,メイン,トラフグ,,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,
