ship,area,date,trip_no,is_cancellation,tsuri_mono_raw,tsuri_mono,main_sub,fish_raw,time_slot,cnt_min,cnt_max,cnt_avg,is_boat,size_min,size_max,kg_min,kg_max,tackle,point_place1,point_place2,point_place3,depth_min,depth_max,water_temp_min,water_temp_max,water_color,wind_direction,wind_speed,tide_info,wave_info,weather,by_catch,cancel_reason,cancel_type,kanso_raw,suion_raw,suishoku_raw
なごみ丸,松崎港,2023/05/23,1,0,オニカサゴ,オニカサゴ,メイン,オニカサゴ,,0,1,0,0,,,0.6,0.7,,波勝崎沖～150m,,,120.0,120.0,,,,,,,,,"キダイ,アヤメカサゴ",,,魚の活性がありキダイ・アヤメカサゴは良く釣れましたが、本命はなかなかヒットしなくて苦戦しました。小型のキダイ・アヤメカサゴは今後のためにアイテムを使いリリースしていただきました。,,
なごみ丸,松崎港,2023/05/23,1,0,オニカサゴ,オニカサゴ,サブ,アマダイ,,1,1,1,0,,,0.4,0.5,,,,,,,,,,,,,,,"キダイ,アヤメカサゴ",,,魚の活性がありキダイ・アヤメカサゴは良く釣れましたが、本命はなかなかヒットしなくて苦戦しました。小型のキダイ・アヤメカサゴは今後のためにアイテムを使いリリースしていただきました。,,
なごみ丸,松崎港,2023/05/20,1,0,アカムツ,アカムツ,メイン,アカムツ,,2,2,2,1,,,0.9,1.0,,松崎沖～260m,,,200.0,200.0,,,,,,,,,ユメカサゴがヒットしましたが小さかったのでリリースしていただきました,,,アカムツ釣り。潮が動かない状況でしたが、諦めず誘い続けたお蔭で良型のアカムツをゲットできました。,,
なごみ丸,松崎港,2023/05/20,1,0,アカムツ,アカムツ,サブ,アラ,,1,1,1,1,,,0.6,0.6,,,,,,,,,,,,,,,ユメカサゴがヒットしましたが小さかったのでリリースしていただきました,,,アカムツ釣り。潮が動かない状況でしたが、諦めず誘い続けたお蔭で良型のアカムツをゲットできました。,,
なごみ丸,松崎港,2023/05/12,1,0,マダイ,マダイ,サブ,アカムツ,,0,2,1,0,,,0.5,0.6,,松崎沖～250m,,,85.0,85.0,,,,,,,,,"イトヨリ,サバ",,,アカムツ&マダイ。一日中潮が動かなく苦戦。,,
なごみ丸,松崎港,2023/05/10,1,0,アジ,アジ,サブ,マダイ,,0,4,2,1,,,0.7,2.0,,松崎沖～91m,,,75.0,75.0,,,,,,,,,"イトヨリ,サバ,アジ",,,マダイ&アジの泳がせ。マダイは朝のうち反応が良くトップの方は3連続ヒットがありました。,,
なごみ丸,松崎港,2023/05/03,1,0,アジ,アジ,サブ,マダイ,,2,2,2,1,,,2.1,2.5,,松崎沖～90m,,,70.0,70.0,,,,,,,,,,,,マダイ&アジの泳がせ。前半のマダイは反応があっても食い渋。,,
なごみ丸,松崎港,2023/05/03,1,0,アジ,アジ,サブ,オオニベ,,1,1,1,1,,,2.6,2.6,,,,,,,,,,,,,,,,,,マダイ&アジの泳がせ。前半のマダイは反応があっても食い渋。,,
なごみ丸,松崎港,2023/05/03,1,0,アジ,アジ,サブ,ヒラメ,,1,1,1,1,,,1.4,1.4,,,,,,,,,,,,,,,,,,マダイ&アジの泳がせ。前半のマダイは反応があっても食い渋。,,
野毛屋釣船店,金沢八景,2023/05/30,1,0,アジ,アジ,メイン,午前ライトアジ,午前,22,36,29,0,20,28,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/30,2,0,フグ,フグ,メイン,フグ,,0,17,8,0,17,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/22,1,0,アジ,アジ,メイン,午前ライトアジ,午前,23,70,46,0,20,26,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/22,2,0,フグ,フグ,メイン,フグ,,0,37,18,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/22,3,0,マダイ,マダイ,メイン,マダイ,,0,1,0,0,,,0.7,1.5,,横須賀沖,,,,,,,,,,,,,,,,ひとつテンヤ・ラバージグ。。,,
野毛屋釣船店,金沢八景,2023/05/21,1,0,アジ,アジ,メイン,午前ライトアジ,午前,0,26,13,0,20,28,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/21,2,0,フグ,フグ,メイン,フグ,,0,20,10,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/21,3,0,マダイ,マダイ,メイン,マダイ,,0,1,0,0,,,1.0,3.5,,横須賀沖,,,,,,,,,,,,,,,,ひとつテンヤ・ラバージグ。。,,
野毛屋釣船店,金沢八景,2023/05/21,4,0,フグ,フグ,メイン,午後フグ,午後,0,7,3,0,20,38,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/20,1,0,フグ,フグ,メイン,午後フグ,午後,0,7,3,0,18,36,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/19,1,0,アジ,アジ,メイン,午前ライトアジ,午前,16,24,20,0,18,24,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/19,2,0,フグ,フグ,メイン,フグ,,1,21,11,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/16,1,0,アジ,アジ,メイン,午前ライトアジ,午前,10,45,27,0,18,24,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/16,2,0,フグ,フグ,メイン,フグ,,2,42,22,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/14,1,0,アジ,アジ,メイン,午前ライトアジ,午前,3,23,13,0,18,25,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/14,2,0,フグ,フグ,メイン,フグ,,4,36,20,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/13,1,0,アジ,アジ,メイン,午前ライトアジ,午前,20,102,61,0,18,23,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/13,2,0,フグ,フグ,メイン,フグ,,2,42,22,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/12,1,0,フグ,フグ,メイン,フグ,,1,37,19,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/05,1,0,アジ,アジ,メイン,午前ライトアジ,午前,2,15,8,0,18,28,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/05,2,0,フグ,フグ,メイン,フグ,,0,23,11,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/05,3,0,マダイ,マダイ,メイン,マダイ,,0,2,1,0,,,0.8,3.2,,横須賀沖,,,,,,,,,,,,,,,,ひとつテンヤ・ラバージグ。。,,
野毛屋釣船店,金沢八景,2023/05/04,1,0,アジ,アジ,メイン,午前ライトアジ,午前,2,53,27,0,18,28,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/04,2,0,フグ,フグ,メイン,フグ,,0,27,13,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/04,3,0,マダイ,マダイ,メイン,マダイ,,0,2,1,0,,,1.1,2.9,,横須賀沖,,,,,,,,,,,,,,,,ひとつテンヤ・ラバージグ。。,,
野毛屋釣船店,金沢八景,2023/05/03,1,0,アジ,アジ,メイン,午前ライトアジ,午前,0,18,9,0,18,26,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/03,2,0,フグ,フグ,メイン,フグ,,0,16,8,0,18,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/01,1,0,アジ,アジ,メイン,午前ライトアジ,午前,2,25,13,0,18,26,,,,八景沖,,,,,,,,,,,,,,,,,,
野毛屋釣船店,金沢八景,2023/05/01,2,0,フグ,フグ,メイン,フグ,,0,17,8,0,17,38,,,,大貫沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/31,1,0,タイ五目,タイ五目,メイン,マダイ,,2,5,3,0,,,0.5,5.8,,茅ヶ崎沖,,,,,,,,,,,,,,,,タイ五目。出たよ!!5.8kgのマダイ。,,
ちがさき丸,茅ヶ崎港,2023/05/31,1,0,タイ五目,タイ五目,メイン,クロダイ,,2,3,2,0,,,0.8,1.6,,,,,,,,,,,,,,,,,,タイ五目。出たよ!!5.8kgのマダイ。,,
ちがさき丸,茅ヶ崎港,2023/05/31,2,0,シロギス,シロギス,メイン,シロギス,,12,52,32,0,14,23,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/31,3,0,タイ五目,タイ五目,メイン,イサキ,,11,36,23,0,14,24,,,,茅ヶ崎沖,,,,,,,,,,,,,"サバ,アジ,イワシ",,,LT五目。前半にイサキ・サバ・アジ・イワシ等、五目釣り!!後半は泳がせメインでエサ取り、アタリ複数ありましたがバラシ多数!!マトウダイ・カサゴ・オオモンハタ等上がりました!!他にサバ・アジ・イワシ・マトウダイ・カサゴ・オオモンハタ等。,,
ちがさき丸,茅ヶ崎港,2023/05/29,1,0,タイ五目,タイ五目,メイン,マダイ,,0,4,2,0,,,0.5,0.8,,茅ヶ崎沖,,,,,,,,,,,,,"マトウダイ,アジ",,,タイ五目。マダイ・クロダイ釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/29,1,0,タイ五目,タイ五目,メイン,クロダイ,,0,11,5,0,,,1.0,1.6,,,,,,,,,,,,,,,"マトウダイ,アジ",,,タイ五目。マダイ・クロダイ釣れました。,,
ちがさき丸,茅ヶ崎港,2023/05/29,2,0,シロギス,シロギス,メイン,シロギス,,10,27,18,0,14,22,,,,茅ヶ崎沖,,,,,,,,,,,,,,,,,,
ちがさき丸,茅ヶ崎港,2023/05/29,3,0,アジ,アジ,メイン,アジ,,11,25,18,0,32,38,,,,二ノ宮沖,,,,,,,,,,,,,,,,今日は反応ありでアタリもありでしたが、サメにやられたわ～!!,,
ちがさき丸,茅ヶ崎港,2023/05/28,1,0,タイ五目,タイ五目,メイン,ヒラメ,,0,1,0,1,,,2.0,2.0,,茅ヶ崎沖,,,,,,,,,,,,,,,,LT五目。今日は落とし込みメイン!!今日も出ました!ヒラメ2kg!他アタリありましたが上手く乗らず、今日は1匹のみでした…。,,
ちがさき丸,茅ヶ崎港,2023/05/28,2,0,シロギス,シロギス,メイン,シロギス,,6,26,16,0,14,23,,,,茅ヶ崎沖～10m,,,7.0,7.0,,,,南,,,ウネリ,,"ヒラメ,メゴチ",,,水深7～10mを流す。朝からポツポツ釣れるが南風とウネリのため数が伸びなかった。,,
ちがさき丸,茅ヶ崎港,2023/05/28,3,0,ショウサイフグ,ショウサイフグ,メイン,ショウサイフグ,,0,6,3,0,20,32,,,,茅ヶ崎沖,,,,,,,,,,,,,カワハギ交じる,,,南の風が吹きアタリがとれなかった。他にカワハギ交じる。,,
ちがさき丸,茅ヶ崎港,2023/05/28,4,0,タイ五目,タイ五目,メイン,タイ,,1,1,1,1,,,1.0,1.0,,茅ヶ崎沖,,,,,,,,,,,,,,,,タイ五目。その他はダメでした。,,
ちがさき丸,茅ヶ崎港,2023/05/28,5,0,ムギイカ,ムギイカ,メイン,ムギイカ,,0,14,7,0,15,30,,,,城ヶ島沖,,,,,,,,,,,,,,,,ムギイカ・スルメイカ船。イカの動きが速く、なかなか乗りませんでした。,,
ちがさき丸,茅ヶ崎港,2023/05/27,1,0,タイ五目,タイ五目,メイン,マダイ,,0,2,1,0,,,0.4,1.7,,茅ヶ崎沖,,,,,,,,,,,,,"ハナダイ,クロダイ,メジナと釣れて五目釣りになりました",,,タイ五目。今日はマダイ、他にハナダイ・クロダイ・メジナと釣れて五目釣りになりました。,,
ちがさき丸,茅ヶ崎港,2023/05/27,2,0,タイ五目,タイ五目,メイン,アジ,,4,28,16,0,12,27,,,,茅ヶ崎沖,,,,,,,,,,,,,"タカベ,カサゴ,サバ",,,LT五目。アジ・イサキ大漁!!そしてついに上がりました!!2.8kgヒラメゲット!!他にタカベ・カサゴ・サバ・イワシ交じり好調!!。,,
ちがさき丸,茅ヶ崎港,2023/05/27,2,0,タイ五目,タイ五目,メイン,イサキ,,8,32,20,0,17,26,,,,,,,,,,,,,,,,,"タカベ,カサゴ,サバ",,,LT五目。アジ・イサキ大漁!!そしてついに上がりました!!2.8kgヒラメゲット!!他にタカベ・カサゴ・サバ・イワシ交じり好調!!。,,
ちがさき丸,茅ヶ崎港,2023/05/27,2,0,タイ五目,タイ五目,メイン,ヒラメ,,,,,0,,,2.8,2.8,,,,,,,,,,,,,,,"タカベ,カサゴ,サバ",,,LT五目。アジ・イサキ大漁!!そしてついに上がりました!!2.8kgヒラメゲット!!他にタカベ・カサゴ・サバ・イワシ交じり好調!!。,,
