=== イサキ 船宿×週グリッド（数量index、全期間平均=100） ===
船宿              |-- 1月(4週)--|-- 2月(4週)--|-- 3月(4週)--|-- 4月(4週)--|-- 5月(4週)--|-- 6月(4週)--|-- 7月(4週)--|-- 8月(4週)--|-- 9月(4週)--|--10月(4週)--|--11月(4週)--|--12月(4週)--
                W01 W02 W03 W04 W05 W06 W07 W08 W09 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W39 W40 W41 W42 W43 W44 W45 W46 W47 W48 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
山川丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
平作丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   59  51|  -   73 129134*| 117137*[188 101| 117136*  -   - |  -   -   -   - |  -   -   -   - |  -   -   33  50|158* 126  55  28|  -   -   -   -   - 
平安丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  - [100  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
幸辰丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
庄治郎丸            |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   66  - |  -   -   -   - |  -   - [133  - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
康仁丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   60  -   - |  60  - 130*  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [147|  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
強丸              |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   99[109  91|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
恵漁丸             |  -   -   -   - |  -   -   -   - |  -   -   -   17|  79  -  106  - |  -   -   -   - |  -   -   67  67|141*156*  96[168|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
敷嶋丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  93138*  69  81|  97138*133*  77| 106  91 100  93| 121  52  -   41|  - [164  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
早川丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [101|  98  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
明広丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |[100  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
春栄丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
村井丸             |  62  -  123  69| 103  -   25  75| 129  -   62  98|  58 108  62 108|  51  85  85  67|137*146* 129[177|149*176*148* 108|137*140*  80  87| 125  84  46  - |  -  118  92149*| 118 129  -   92|  56  -   20  59| 118  69  89130*  - 
村正丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
松栄丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
棒面丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   25|  -   60 127 123|[147132* 113 106| 102  93  65  - |  -   -   -   - | 102  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
治久丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
深田正夫丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
秀丸              |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   67  - | 114  -  118  - |  77[121  -   - |  -   -   -  101|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
竜一丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
