ship,area,date,trip_no,is_cancellation,tsuri_mono_raw,tsuri_mono,main_sub,fish_raw,cnt_min,cnt_max,cnt_avg,is_boat,size_min,size_max,kg_min,kg_max,tackle,point_place1,point_place2,point_place3,depth_min,depth_max,water_temp_min,water_temp_max,water_color,wind_direction,wind_speed,tide_info,wave_info,weather,by_catch,kanso_raw,suion_raw,suishoku_raw
村松釣具店,大井川港,2024/02/11,4,0,コハダ,コハダ,メイン,コハダ,10,15,12,0,10,12,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/10,1,0,クロダイ,クロダイ,メイン,クロダイ,0,4,2,0,20,30,,,,藤守前,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/10,2,0,カマス,カマス,メイン,カマス,2,5,3,0,25,35,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/10,3,0,,,メイン,カタボシイワシ,10,30,20,0,20,22,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/10,4,0,タチウオ,タチウオ,メイン,タチウオ,0,3,1,0,30,40,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/04,1,0,タチウオ,タチウオ,メイン,タチウオ,5,7,6,0,30,45,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/04,2,0,,,メイン,キビレダイ,0,3,1,0,20,35,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/04,3,0,アジ,アジ,メイン,アジ,3,5,4,0,20,25,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/04,4,0,カサゴ,カサゴ,メイン,カサゴ,5,10,7,0,10,20,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/03,1,0,クロダイ,クロダイ,メイン,クロダイ,0,2,1,0,25,40,,,,藤守前,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/03,2,0,,,メイン,カタボシイワシ,20,40,30,0,20,23,,,,大井川港,,,,,,,,,,,,,,,,
村松釣具店,大井川港,2024/02/03,3,0,カマス,カマス,メイン,カマス,5,10,7,0,25,35,,,,大井川港,,,,,,,,,,,,,,,,
大貫丸,日立久慈港,2024/02/25,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,7,3,0,,,0.5,3.0,,,,,,,,,,,,,,,,ヒラメ船。3kgを最大に、1～2kg級交じり良い人6～7匹でした!!。,,
大貫丸,日立久慈港,2024/02/18,1,0,マダイ,マダイ,メイン,アマダイ,,,,0,25,50,,,,,,,,,,,,,,,,,,アマダイ船。40cm級多数交じり良い人4～6匹でした!。,,
大貫丸,日立久慈港,2024/02/17,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,5,2,0,,,0.5,3.0,,,,,,,,,,,,,,,,ヒラメ船。3kgを最大に良い人3～5匹でした!!。,,
大貫丸,日立久慈港,2024/02/17,2,0,マダイ,マダイ,メイン,マダイ,0,4,2,0,,,0.3,1.0,,,,,,,,,,,,,,,"ハナダイ,カサゴ,ウスメバル",テンヤマダイ船。1kg含み良い人3～4匹でした!!他にハナダイ・カサゴ・ウスメバル・ショウサイフグ等!。,,
大貫丸,日立久慈港,2024/02/14,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,7,3,0,,,0.5,3.5,,,,,,,,,,,,,,,,ヒラメ船。3.5kgを最大に、1～2kg級交じり良い人6～7匹でした!!。,,
大貫丸,日立久慈港,2024/02/14,2,0,マダイ,マダイ,メイン,アマダイ,0,6,3,0,25,47,,,,,,,,,,,,,,,,,"オニカサゴ,ソイ,マハタ",アマダイ船。40cm級多数交じり良い人5～6匹でした!!他にオニカサゴ・ソイ・マハタ・ウスメバル等!。,,
大貫丸,日立久慈港,2024/02/13,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,3,1,0,,,0.5,3.3,,,,,,,,,,,,,,,,ヒラメ船。3.3kg、3.2kgを最大に、1～2kg級交じり良い人2～3匹でした!。,,
大貫丸,日立久慈港,2024/02/13,2,0,マダイ,マダイ,メイン,マダイ,0,3,1,0,,,0.3,1.8,,,,,,,,,,,,,,,"ハナダイ,カサゴ,ウスメバル",テンヤマダイ船。1.8kg含み良い人2～3匹でした!他にハナダイ・カサゴ・ウスメバル・ウマヅラハギ等!。,,
大貫丸,日立久慈港,2024/02/12,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,10,5,0,,,0.5,2.5,,,,,,,,,,,,,,,,ヒラメ船。好調でした!2.5kgを最大に、1～2kg級多数交じり良い人10匹でした!!。,,
大貫丸,日立久慈港,2024/02/12,2,0,マダイ,マダイ,メイン,アマダイ,1,7,4,0,25,48,,,,,,,,,,,,,,,,,"ホウボウ,ウスメバル,ムシガレイ等!",アマダイ船。好調!!40cm級多数交じり良い人6～7匹、初挑戦の方が竿頭でした!今日も良型アマダイ全員ゲットでした!他にホウボウ・ウスメバル・ムシガレイ等!。,,
大貫丸,日立久慈港,2024/02/09,1,0,マダイ,マダイ,メイン,アマダイ,2,5,3,0,25,47,,,,,,,,,,,,,,,,,,アマダイ船。好調!!40cm級多数交じり良い人4～5匹でした!!初心者の方も含み全員2匹以上でした!。,,
大貫丸,日立久慈港,2024/02/09,2,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,3,1,0,,,0.8,2.4,,,,,,,,,,,,,,,,ヒラメ船。2.4kg交じり良い人2～3匹でした!!。,,
大貫丸,日立久慈港,2024/02/08,1,0,マダイ,マダイ,メイン,アマダイ,0,7,3,0,25,45,,,,,,,,,,,,,,,,,,アマダイ船。40cm級多数交じり良い人6～7匹でした!!。,,
大貫丸,日立久慈港,2024/02/08,2,0,マダイ,マダイ,メイン,マダイ,0,6,3,0,,,0.3,0.8,,,,,,,,,,,,,,,"ヒラメ,ハナダイ,カサゴ",テンヤマダイ船。0.8kgを最大に良い人6匹でした!他にヒラメ・ハナダイ・カサゴ・メバル等!。,,
大貫丸,日立久慈港,2024/02/05,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,3,1,0,,,0.5,3.3,,,,,,,,,,,,,,,,ヒラメ船。3.3kgを最大に1～2kg級交じり良い人2～3匹でした!!。,,
大貫丸,日立久慈港,2024/02/04,1,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,4,2,0,,,0.5,5.2,,,,,,,,,,,,,,,,ヒラメ船。5.2kg、3.3kg、3.1kg、3kgヒット!!1～2kg級交じり良い人3～4匹でした!!。,,
大貫丸,日立久慈港,2024/02/04,2,0,マダイ,マダイ,メイン,マダイ,1,11,6,0,,,0.3,0.7,,,,,,,,,,,,,,,"ホウボウ,カサゴ,ハナダイ",テンヤマダイ船。0.7kg含み良い人10～11匹でした!!他にホウボウ・カサゴ・ハナダイ・ウスメバル・ショウサイフグ等!。,,
大貫丸,日立久慈港,2024/02/02,1,0,マダイ,マダイ,メイン,マダイ,2,8,5,0,,,0.3,1.5,,,,,,,,,,,,,,,"ハナダイ,カサゴ,ショウサイフグ等!",テンヤマダイ船。1.5kg、1.3kg、1.2kgヒット!良型多数交じり良い人8匹でした!!他にハナダイ・カサゴ・ショウサイフグ等!。,,
大貫丸,日立久慈港,2024/02/02,2,0,ヒラメ,ヒラメ,メイン,ヒラメ,0,4,2,0,,,0.5,2.3,,,,,,,,,,,,,,,,ヒラメ船。2.3kgを最大に良い人4匹でした!。,,
大貫丸,日立久慈港,2024/02/01,1,0,マダイ,マダイ,メイン,マダイ,1,10,5,0,,,0.3,1.6,,,,,,,,,,,,,,,"ハナダイ,カサゴ,ホウボウ",テンヤマダイ船。1.6kg交じり良い人10匹でした!!他にハナダイ・カサゴ・ホウボウ・ショウサイフグ等!。,,
大貫丸,日立久慈港,2024/02/01,2,0,マダイ,マダイ,メイン,アマダイ,0,5,2,0,25,48,,,,,,,,,,,,,,,,,"ホウボウ,カサゴ等!",アマダイ船。最大48cm、47cm、45cm含み、30～40cm級多数交じり良い人4～5匹でした!!他にホウボウ・カサゴ等!。,,
鶴丸,田子の浦港,2024/02/27,1,0,マダイ,マダイ,メイン,シロアマダイ,1,7,4,0,,,,,,,,,,,,,,,,,,,"アマダイ,小ダイ,マハタ",朝シロアマダイ船。小～中型。,,
鶴丸,田子の浦港,2024/02/26,1,0,マダイ,マダイ,メイン,アマダイ,5,10,7,0,,,,,エサ,,,,,,,,,,,,,,"オニカサゴ,マハタ等",朝アマダイ船。小～中型。,,
鶴丸,田子の浦港,2024/02/24,1,0,マダイ,マダイ,メイン,シロアマダイ,0,2,1,0,,,,,,,,,,,,,,,,,,,,朝シロアマダイ&泳がせ。シロアマダイは小～中型、全体的には型良かったです。,,
鶴丸,田子の浦港,2024/02/19,1,0,マダイ,マダイ,メイン,シロアマダイ,1,4,2,1,,,,,,,,,,,,,,,,,,,"良型オニカサゴ,中アジ,イトヨリ",朝紅白アマダイ船・3人の釣果。小～中型。,,
鶴丸,田子の浦港,2024/02/18,1,0,マダイ,マダイ,メイン,シロアマダイ,0,3,1,1,,,1.8,1.8,,,,,,,,,,,,,,,"イトヨリ,マハタ等",朝シロアマダイ船・4人の釣果。下は小サイズ。,,
