date,page,clicks,impressions,ctr,position
2026-07-02,https://funatsuri-yoso.com/fish/ishimochi.html,0,3,0,16.33
2026-07-02,https://funatsuri-yoso.com/fish/kamasu.html,0,1,0,9
2026-07-02,https://funatsuri-yoso.com/fish/kanpachi.html,0,9,0,7.11
2026-07-02,https://funatsuri-yoso.com/fish/karei.html,0,1,0,5
2026-07-02,https://funatsuri-yoso.com/fish/kintoki.html,0,2,0,4
2026-07-02,https://funatsuri-yoso.com/fish/madai.html,0,2,0,4.5
2026-07-02,https://funatsuri-yoso.com/fish/madako.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/fish/maruika.html,0,7,0,7.43
2026-07-02,https://funatsuri-yoso.com/fish/mugiika.html,0,3,0,9.67
2026-07-02,https://funatsuri-yoso.com/fish/onikasago.html,0,2,0,6.5
2026-07-02,https://funatsuri-yoso.com/fish/seabass.html,0,2,0,8
2026-07-02,https://funatsuri-yoso.com/fish/shima-aji.html,0,12,0,7.83
2026-07-02,https://funatsuri-yoso.com/fish/tachiuo.html,0,4,0,9.25
2026-07-02,https://funatsuri-yoso.com/fish/torafugu.html,0,1,0,9
2026-07-02,https://funatsuri-yoso.com/fish/warasa.html,0,1,0,6
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-chigasaki.html,0,1,0,32
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-heiwajima.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-hiratsuka.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-kashima-port.html,0,1,0,11
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-kiba.html,0,1,0,9
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-koshiba.html,0,1,0,9
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-manazuru-port.html,0,4,0,8.25
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-oarai.html,1,2,0.5,17
2026-07-02,https://funatsuri-yoso.com/fish_area/aji-urayasu.html,0,1,0,6
2026-07-02,https://funatsuri-yoso.com/fish_area/akamutsu-hasaki.html,0,5,0,9
2026-07-02,https://funatsuri-yoso.com/fish_area/fugu-kashima-port.html,0,4,0,10.25
2026-07-02,https://funatsuri-yoso.com/fish_area/hirame-hasaki.html,0,1,0,5
2026-07-02,https://funatsuri-yoso.com/fish_area/hirame-iioka.html,0,1,0,8
2026-07-02,https://funatsuri-yoso.com/fish_area/hirame-omaezaki.html,1,1,1,10
2026-07-02,https://funatsuri-yoso.com/fish_area/inada-kashima.html,0,1,0,4
2026-07-02,https://funatsuri-yoso.com/fish_area/isaki-kanazawa-hakkei.html,1,2,0.5,8.5
2026-07-02,https://funatsuri-yoso.com/fish_area/isaki-matsuwa-ena.html,0,1,0,5
2026-07-02,https://funatsuri-yoso.com/fish_area/isaki-ohara.html,0,2,0,3.5
2026-07-02,https://funatsuri-yoso.com/fish_area/kasago-chigasaki.html,0,2,0,5
