zone,bucket,day_offset,n,anomaly_p25,anomaly_p50,anomaly_p75
outer_boso,no,3,3701,0.633,1.0,1.5
outer_boso,no,4,3666,0.6301,1.0,1.5143
outer_boso,no,5,3691,0.6378,1.0,1.5
outer_boso,no,6,3645,0.625,1.0,1.5
outer_boso,no,7,3674,0.6316,1.0,1.5
outer_boso,lo,1,356,0.5773,1.0,1.5846
outer_boso,lo,2,373,0.5556,1.0,1.3953
outer_boso,lo,3,378,0.6,1.0,1.5
outer_boso,lo,4,411,0.6347,1.0,1.4792
outer_boso,lo,5,382,0.5404,1.0,1.6432
outer_boso,lo,6,435,0.6304,1.0,1.5293
outer_boso,lo,7,393,0.5816,1.0,1.4307
outer_boso,mid,1,19,0.7333,0.9292,1.8992
outer_boso,mid,2,38,0.3433,1.0,1.4161
outer_boso,mid,3,24,0.542,0.9565,1.4261
outer_boso,mid,4,26,0.5571,0.9722,1.3589
outer_boso,mid,5,30,0.5605,1.0,1.5542
outer_boso,mid,6,23,0.8167,1.0,1.2061
outer_boso,mid,7,36,0.5796,1.0,1.6
outer_boso,hi,1,0,,,
outer_boso,hi,2,0,,,
outer_boso,hi,3,0,,,
outer_boso,hi,4,0,,,
outer_boso,hi,5,0,,,
outer_boso,hi,6,0,,,
outer_boso,hi,7,0,,,
sagami_bay,no,1,7776,0.6207,1.0,1.5
sagami_bay,no,2,7781,0.6242,1.0,1.5
sagami_bay,no,3,7774,0.625,1.0,1.5147
sagami_bay,no,4,7740,0.6228,1.0,1.516
sagami_bay,no,5,7769,0.6154,1.0,1.5152
sagami_bay,no,6,7776,0.6165,1.0,1.5
sagami_bay,no,7,7757,0.625,1.0,1.5046
sagami_bay,lo,1,745,0.6259,1.0,1.5517
sagami_bay,lo,2,725,0.5825,1.0,1.5152
sagami_bay,lo,3,726,0.5942,1.0,1.4856
sagami_bay,lo,4,763,0.6034,0.9969,1.4059
sagami_bay,lo,5,742,0.6667,1.0,1.4266
sagami_bay,lo,6,746,0.6335,1.0,1.5199
sagami_bay,lo,7,746,0.5596,0.9888,1.5
sagami_bay,mid,1,67,0.5189,0.8451,1.4308
