date,pfid,hinmei,section,santi,meigara,takane,nakane,yasune,qty_total,hanbai
20260519,buri,ぶり・わらさ,,各地,ワラサ,540,324,270,,
20260519,inada,いなだ・わかし,,各地,イナダ,486,432,378,377.0,相対
20260519,hirame,ひらめ,,各地海外込,−,1620,−,756,7203.0,相対
20260519,karei,かれい,,北海道,アカガレイ,648,486,324,20971.0,
20260519,karei,かれい,,北海道,クロガレイ,540,378,270,,
20260519,karei,かれい,,各地,マカレイ,648,540,432,,
20260519,karei,かれい,,各地,マコガレイ,540,−,324,,
20260519,maaji,あじ,,佐賀,中,648,594,540,53833.0,相対
20260519,maaji,あじ,,各地,中,864,−,540,,
20260519,maaji,あじ,,各地,小・豆,378,324,270,,
20260519,saba,さば,,各地,−,864,540,432,18498.0,相対
20260519,katsuo,かつお,,千葉,−,1620,864,540,38297.0,相対
20260519,katsuo,かつお,,各地,−,648,−,486,,
20260519,surumeika,するめいか,,各地,−,2117,1404,945,10231.0,相対
20260519,yariika,やりいか,,各地,−,2376,−,1944,2530.0,相対
20260519,kamasu,かます,,各地,−,2160,−,972,1303.0,相対
20260519,mebaru,めばる,,各地,−,1620,−,1404,2477.0,相対
20260519,seabass,すずき,,各地,−,1512,−,540,7673.0,相対
20260519,shirogisu,きす,,各地,−,8424,−,1080,471.0,相対
20260519,isaki,いさき,,各地,−,2700,−,648,9152.0,相対
20260519,tachiuo,たちうお,,各地海外込,−,4320,−,2160,794.0,相対
20260522,kihada,きわだ（冷凍）,大物,各地海外込,−,1728,1318,1080,3033.0,せり・入札
20260522,kihada,めじ,,各地,−,1404,864,648,3224.0,相対
20260522,madai,まだい,,各地,−,3240,−,432,23806.0,相対
20260522,kinmedai,きんめだい,,各地,−,4536,1944,1080,6694.0,相対
20260522,madai,あまだい,,各地海外込,−,5400,−,2700,1222.0,相対
20260522,buri,ぶり・わらさ,,各地,ブリ,864,648,540,49153.0,相対
20260522,buri,ぶり・わらさ,,各地,ワラサ,594,324,270,,
20260522,inada,いなだ・わかし,,各地,イナダ,−,756,−,836.0,相対
20260522,hirame,ひらめ,,各地海外込,−,1620,−,756,6088.0,相対
20260522,karei,かれい,,北海道,アカガレイ,540,486,432,13118.0,
20260522,karei,かれい,,北海道,クロガレイ,540,432,324,,
20260522,karei,かれい,,各地,マカレイ,540,378,216,,
20260522,karei,かれい,,各地,マコガレイ,756,−,162,,
20260522,maaji,あじ,,長崎,中,648,540,432,42332.0,相対
20260522,maaji,あじ,,各地,中,756,−,432,,
20260522,maaji,あじ,,各地,小・豆,324,270,216,,
20260522,saba,さば,,各地,−,648,540,432,13094.0,相対
20260522,katsuo,かつお,,千葉,−,1944,864,540,33608.0,相対
20260522,katsuo,かつお,,各地,−,756,−,432,,
20260522,surumeika,するめいか,,各地,−,2052,1188,864,8574.0,相対
20260522,yariika,やりいか,,各地,−,2268,−,1188,1834.0,相対
