# 釣り予測 バックテスト結果
# 生成: 2026/04/03 21:55

======================================================================
【1. 欠航予測バックテスト】
   船宿別 cancel_thresholds × 実測気象 → 欠航フラグと照合
======================================================================

  船宿                欠航N    出船N    適中率(P)    検出率(R)     F1     特異度
-----------------------------------------------------------------
  長崎屋               252    795    46.6%    32.1%  38.0%   88.3%
  たいぞう丸             218    738    42.3%    64.7%  51.2%   74.0%
  第三幸栄丸             149    735    43.2%    75.2%  54.9%   80.0%
  北山丸                51    196    44.8%    76.5%  56.5%   75.5%
  石田丸                36    439    51.7%    41.7%  46.2%   96.8%
  秀丸                 30    744    12.0%    33.3%  17.7%   90.2%
  船宿 まる八             23    594    36.4%    17.4%  23.5%   98.8%
  恒丸                 18    212     0.0%     0.0%   0.0%  100.0%
  明進丸                12    133    44.4%    66.7%  53.3%   92.5%
  勇盛丸                11    504    37.5%    27.3%  31.6%   99.0%
  幸丸                 10    411    50.0%    80.0%  61.5%   98.1%
  鶴丸                 10    375    16.0%    40.0%  22.9%   94.4%
  幸栄丸                 8    734    36.4%    50.0%  42.1%   99.0%
  明広丸                 7    560    12.5%    28.6%  17.4%   97.5%
  福よし丸                7    372    10.5%    28.6%  15.4%   95.4%
  つる丸                 5    713     2.7%    80.0%   5.2%   79.7%
  渡辺釣船店               5    228     9.1%    20.0%  12.5%   95.6%
  第八幸松丸               5    599     7.7%    40.0%  12.9%   96.0%
  ふじや釣舟店              4    747     0.6%   100.0%   1.1%    5.9%
  日正丸                 3    580    28.6%    66.7%  40.0%   99.1%
-----------------------------------------------------------------
  【全体合計】            864  10409    22.4%    51.6%  31.3%   85.2%

  [解説]
  適中率(Precision): 欠航と予測したうち実際に欠航だった割合
  検出率(Recall):    実際の欠航のうち予測できた割合
  特異度:            実際の出船日のうち正しく出船と予測した割合

======================================================================
【2. 釣果スコアバックテスト】
   combo_wx_params × 週次実測気象 → 実際のcnt_avgと比較
======================================================================

  魚種         船宿                週数     相関r      p値     方向一致率
  ワラサ        第三幸栄丸             40  +0.331*   0.031     62.5%
  タチウオ       第八幸松丸             80  +0.325*   0.002     67.5%
  マダイ        弘漁丸               82  +0.318*   0.003     62.2%
  タチウオ       釣船 五郎丸           136  +0.316*   0.000     67.6%
  フグ         敷嶋丸               95  +0.315*   0.001     57.9%
  ヒラメ        第三松栄丸             42  +0.315*   0.036     61.9%
  タチウオ       吉野屋               12  +0.311    0.300     58.3%
  ヒラメ        幸丸               122  +0.301*   0.001     65.6%
  ヒラメ        仁徳丸               35  +0.298    0.073     51.4%
  アジ         こなや丸             145  +0.283*   0.000     66.9%
  タチウオ       鶴丸                46  +0.283    0.051     63.0%
  アジ         平安丸              101  +0.282*   0.003     59.4%
  マダイ        共栄丸               89  +0.281*   0.006     60.7%
  キハダマグロ     ちがさき丸             42  +0.281    0.064     66.7%
  アジ         さえむ丸              63  +0.268*   0.030     52.4%
  カサゴ        北山丸               45  +0.263    0.074     64.4%
  マダコ        大洗丸               33  +0.262    0.130     60.6%
  マダイ        日正丸              140  +0.258*   0.002     62.1%
  コハダ        村松釣具店            127  +0.254*   0.003     56.7%
  シロギス       ちがさき丸             51  +0.252    0.068     51.0%
  アジ         秀丸                23  +0.246    0.245     56.5%
  シロギス       かめだや             148  +0.237*   0.003     60.1%
  マダコ        日正丸               15  +0.224    0.407     60.0%
  マダイ        第八幸松丸             50  +0.221    0.117     56.0%
  ヒラメ        つる丸               82  +0.220*   0.044     65.9%
  カワハギ       たいぞう丸             27  +0.220    0.260     77.8%
  カワハギ       あまさけや丸            58  +0.219    0.093     56.9%
  マダイ        鶴丸                96  +0.219*   0.030     58.3%
  ヒラメ        第三幸栄丸             81  +0.214    0.052     53.1%
  ヒラメ        幸栄丸               81  +0.212    0.054     53.1%
  タイ五目       大洗丸               30  +0.190    0.307     56.7%
  カワハギ       光進丸               67  +0.188    0.122     62.7%
  ヒラメ        第八幸松丸             38  +0.174    0.288     52.6%
  カワハギ       ちがさき丸             21  +0.167    0.459     57.1%
  マダイ        あまさけや丸           132  +0.164    0.058     59.1%
  マダイ        青木丸               99  +0.149    0.137     56.6%
  タチウオ       秀丸                29  +0.146    0.444     55.2%
  ヤリイカ       喜平治丸             156  +0.122    0.128     55.8%
  タイ五目       大盛丸               67  +0.116    0.346     58.2%
  シロギス       村松釣具店            117  +0.116    0.211     50.4%
  アジ         あまさけや丸            84  +0.115    0.295     53.6%
  マダイ        平安丸               70  +0.111    0.355     42.9%
  ワラサ        喜平治丸              17  +0.108    0.673     47.1%
  マダイ        宮田丸               78  +0.106    0.351     56.4%
  イサキ        勘栄丸               29  +0.105    0.585     55.2%
  マルイカ       第八幸松丸             20  +0.099    0.672     60.0%
  マルイカ       庄治郎丸              14  +0.097    0.734     35.7%
  キハダマグロ     たいぞう丸             43  +0.092    0.553     55.8%
  マダイ        ちがさき丸            112  +0.089    0.346     55.4%
