# Out-of-Sample バックテスト結果
# 生成: 2026/04/03 22:00
# 学習期間: 2023-01-01 〜 2024-12-31
# 検証期間: 2025-01-01 〜 2026-04-02
# 学習済みコンボ数: 149

===========================================================================
【1. 釣果スコア Out-of-Sample 検証】
===========================================================================

  魚種         船宿                週数   OOS r    IS r     r差    OOS方向     IS方向
  ヤリイカ       庄治郎丸              31  +0.111      n/a    n/a    58.1%    n/a
  シロギス       村松釣具店             52  +0.101   +0.116  -0.015    55.8%  50.4%
  ヤリイカ       秀丸                61  +0.087      n/a    n/a    63.9%    n/a
  ワラサ        あまさけや丸            11  +0.084      n/a    n/a    45.5%    n/a
  カワハギ       山天丸               52  +0.069      n/a    n/a    55.8%    n/a
  アジ         ちがさき丸             38  +0.065      n/a    n/a    47.4%    n/a
  アカムツ       第八鶴丸              31  +0.056      n/a    n/a    41.9%    n/a
  ヒラメ        勘栄丸               13  +0.054   -0.024  +0.078    46.2%  57.4%
  ヒラメ        岩崎レンタルボート(岩崎つり具店)    27  +0.052      n/a    n/a    40.7%    n/a
  タチウオ       村松釣具店             17  +0.045   +0.420  -0.375    47.1%  70.0%
  カワハギ       光進丸               35  +0.045   +0.188  -0.143    54.3%  62.7%
  ヤリイカ       共栄丸               16  +0.043      n/a    n/a    56.2%    n/a
  クロダイ       村松釣具店             59  +0.042      n/a    n/a    55.9%    n/a
  キハダマグロ     増福丸                6  +0.026      n/a    n/a    33.3%    n/a
  メダイ        平安丸               58  +0.026      n/a    n/a    58.6%    n/a
  アジ         なごみ丸              30  +0.020      n/a    n/a    53.3%    n/a
  アジ         平安丸               34  +0.003   +0.282  -0.279    50.0%  59.4%
  ヒラメ        大盛丸               49  -0.004      n/a    n/a    55.1%    n/a
  マダイ        あまさけや丸            58  -0.005   +0.164  -0.169    60.3%  59.1%
  ヤリイカ       さえむ丸              33  -0.005      n/a    n/a    42.4%    n/a
  マダイ        幸栄丸               60  -0.006      n/a    n/a    51.7%    n/a
  マダイ        増福丸               19  -0.008      n/a    n/a    63.2%    n/a
  マダイ        宮田丸               33  -0.008   +0.106  -0.114    54.5%  56.4%
  サワラ        こなや丸              17  -0.009      n/a    n/a    64.7%    n/a
  イナダ        岩崎レンタルボート(岩崎つり具店)    19  -0.010   -0.001  -0.009    47.4%  52.1%
  カワハギ       あまさけや丸            21  -0.011   +0.219  -0.230    38.1%  56.9%
  マダイ        第三幸栄丸             60  -0.012      n/a    n/a    51.7%    n/a
  シロギス       長崎屋               66  -0.025   +0.355  -0.380    42.4%  64.3%
  アジ         こなや丸              55  -0.035   +0.283  -0.318    52.7%  66.9%
  マダイ        山下丸               46  -0.043      n/a    n/a    47.8%    n/a
  マダイ        青木丸               46  -0.043   +0.149  -0.192    50.0%  56.6%
  ヒラメ        つる丸               33  -0.049   +0.220  -0.269    57.6%  65.9%
  マダイ        平安丸               32  -0.051   +0.111  -0.162    46.9%  42.9%
  ワラサ        庄治郎丸              20  -0.058      n/a    n/a    60.0%    n/a
  アジ         恒丸                50  -0.066   -0.084  +0.018    38.0%  51.4%
  マダイ        日正丸               56  -0.080   +0.258  -0.338    53.6%  62.1%
  マダイ        恵漁丸               32  -0.089      n/a    n/a    46.9%    n/a
  アジ         岩崎レンタルボート(岩崎つり具店)    20  -0.102   -0.002  -0.100    45.0%  53.5%
  シロギス       ちがさき丸             15  -0.121   +0.252  -0.373    40.0%  51.0%
  カマス        村松釣具店             41  -0.125      n/a    n/a    51.2%    n/a
  キハダマグロ     恒丸                 8  -0.149      n/a    n/a    37.5%    n/a
  カサゴ        北山丸               17  -0.153   +0.263  -0.416    29.4%  64.4%
  サワラ        林遊船               42  -0.158      n/a    n/a    54.8%    n/a
  ヒラメ        明広丸               51  -0.168      n/a    n/a    58.8%    n/a
  マダイ        岩崎レンタルボート(岩崎つり具店)    53  -0.174      n/a    n/a    43.4%    n/a
  タチウオ       福よし丸              52  -0.174   -0.099  -0.075    40.4%  45.5%
  クロダイ       林遊船               48  -0.181      n/a    n/a    37.5%    n/a
  キハダマグロ     庄治郎丸              11  -0.191      n/a    n/a    54.5%    n/a
  メダイ        龍正丸               24  -0.196      n/a    n/a    54.2%    n/a
  ヤリイカ       平安丸               56  -0.218   -0.033  -0.185    42.9%  50.4%
  マダイ        大洗丸               25  -0.225   +0.421  -0.646    28.0%  62.5%
  アジ         山下丸               23  -0.227      n/a    n/a    47.8%    n/a
  マダコ        大洗丸               11  -0.227   +0.262  -0.489    27.3%  60.6%
  マダイ        庄治郎丸              43  -0.238      n/a    n/a    39.5%    n/a
  マダイ        ちがさき丸             52  -0.243   +0.089  -0.332    46.2%  55.4%
  マダイ        共栄丸               41  -0.252   +0.281  -0.533    41.5%  60.7%
  アジ         村井丸               54  -0.255      n/a    n/a    40.7%    n/a
  ヤリイカ       不動丸               42  -0.257   +0.083  -0.340    47.6%  52.3%
  アジ         庄治郎丸              40  -0.262      n/a    n/a    37.5%    n/a
  ヒラメ        第三松栄丸             12  -0.262   +0.315  -0.577    58.3%  61.9%
  サワラ        吉久                20  -0.266      n/a    n/a    30.0%    n/a
  アジ         増福丸                8  -0.301      n/a    n/a    62.5%    n/a
  ヒラメ        勇盛丸               15  -0.304   +0.044  -0.348    40.0%  57.4%
  アジ         釣船 五郎丸            65  -0.346*     n/a    n/a    36.9%    n/a
  マダイ        野毛屋釣船店            24  -0.352   -0.014  -0.338    37.5%  48.6%
  アジ         光進丸               64  -0.467*     n/a    n/a    32.8%    n/a
  キハダマグロ     平安丸               14  -0.468      n/a    n/a    21.4%    n/a
  アジ         勘次郎丸              66  -0.495*     n/a    n/a    27.3%    n/a
  メヌケ        仁徳丸               23  -0.504*  +0.045  -0.549    17.4%  40.9%
  キハダマグロ     ちがさき丸             16  -0.561*  +0.281  -0.842    18.8%  66.7%
  イサキ        敷嶋丸               12  -0.615*  +0.023  -0.638    16.7%  51.5%

  【スコアバックテスト OOS サマリー】
  評価コンボ数:       146
  有意(p<0.05):       43件 (29%)
  正相関コンボ:       92件 (63%)

  指標                         OOS（未知データ）        IS（学習データ）       差分
  --------------------------------------------------------------
  r 平均                          +0.128           +0.308   -0.180
  r 中央値                         +0.124           +0.325   -0.201
  方向一致率 平均                       54.2%            62.2%    -7.9%

  ★ OOS > IS なら汎化できている、OOS << IS なら過学習

===========================================================================
【2. 欠航予測 Out-of-Sample 検証（2025〜2026）】
===========================================================================

  船宿                欠航N    出船N  Precision   Recall     F1     特異度
-----------------------------------------------------------------
  長崎屋               104    336     52.5%    29.8%  38.0%   91.7%
  たいぞう丸              95    306     46.9%    63.2%  53.8%   77.8%
  第三幸栄丸              51    310     36.4%    84.3%  50.9%   75.8%
  北山丸                34     70     56.8%    73.5%  64.1%   72.9%
  秀丸                 28    313     26.5%    32.1%  29.0%   92.0%
  恒丸                 18    129      0.0%     0.0%   0.0%  100.0%
  石田丸                16    167     56.2%    56.2%  56.2%   95.8%
  幸丸                 10    150     61.5%    80.0%  69.6%   96.7%
  船宿 まる八             10    202      0.0%     0.0%   0.0%   99.5%
  勇盛丸                 9    229     42.9%    33.3%  37.5%   98.3%
  明進丸                 9     73     41.7%    55.6%  47.6%   90.4%
  幸栄丸                 8    309     40.0%    50.0%  44.4%   98.1%
  福よし丸                7    130     22.2%    28.6%  25.0%   94.6%
  明広丸                 6    234     10.0%    16.7%  12.5%   96.2%
  つる丸                 5    267      5.7%    80.0%  10.7%   75.3%
  渡辺釣船店               5     82     50.0%    20.0%  28.6%   98.8%
  第八幸松丸               4    282     15.4%    50.0%  23.5%   96.1%
  鶴丸                  3    150     15.4%    66.7%  25.0%   92.7%
  ふじや釣舟店              1    306      0.3%   100.0%   0.7%    2.9%
  日正丸                 1    228      0.0%     0.0%   0.0%   98.7%
-----------------------------------------------------------------
  【OOS全体合計】         424   4273     24.4%    49.5%  32.7%   84.8%

  [IS比較]
  IS全体: Precision 22.4% / Recall 51.6% / F1 31.3% / 特異度 85.2%
