# 日次 vs 週次平均 相関係数比較

因子                        日次r    n_日         週次r    n_週  堅牢性
--------------------------------------------------------------------------------

=== アオリイカ × 佐衛美丸  (日次n=42, 週次n=29) ===
  気圧(hPa)             -0.034       310   -0.142       118  －   非有意
  波高(m)               +0.088       310   +0.061       118  －   非有意
  波周期(s)              +0.048       309   -0.071       118  －   非有意
  うねり高(m)             +0.074       310   +0.040       118  －   非有意
  水温(℃)               +0.003       310   -0.009       118  －   非有意
  海流速(km/h)           +0.075       309   +0.077       118  －   非有意
  潮差(cm)              +0.092       310   +0.137       118  －   非有意
  月齢(日)               -0.112*      310   -0.077       118  △   週次で消滅（疑似反復の疑い）
  満潮1水位(cm)           +0.106       310   +0.160       118  －   非有意
  干潮1水位(cm)           -0.030       310   +0.008       118  －   非有意

=== アジ × 光進丸  (日次n=677, 週次n=123) ===
  風速(m/s)             -0.038       677   +0.021       123  －   非有意
  風向(度)               -0.051       677   -0.070       123  －   非有意
  気温(℃)               +0.074       677   +0.058       123  －   非有意
  気圧(hPa)             +0.037       677   +0.020       123  －   非有意
  波高(m)               -0.075       677   -0.082       123  －   非有意
  波周期(s)              +0.007       677   +0.014       123  －   非有意
  うねり高(m)             -0.065       677   -0.104       123  －   非有意
  水温(℃)               +0.080*      670   +0.019       122  －   非有意
  海流速(km/h)           -0.084*      670   -0.078       123  －   非有意
  潮差(cm)              -0.001       677   -0.009       123  －   非有意
  月齢(日)               +0.013       677   -0.054       123  －   非有意
  満潮1水位(cm)           +0.002       677   +0.047       123  －   非有意
  干潮1水位(cm)           -0.120**     677   -0.146       123  △   週次で消滅（疑似反復の疑い）

=== アジ × 利一丸  (日次n=48, 週次n=34) ===
  風速(m/s)                  -         0        -         0  -
  風向(度)                    -         0        -         0  -
  気温(℃)                    -         0        -         0  -
  気圧(hPa)                  -         0        -         0  -
  波高(m)                    -         0        -         0  -
  波周期(s)                   -         0        -         0  -
  うねり高(m)                  -         0        -         0  -
  水温(℃)                    -         0        -         0  -
  海流速(km/h)                -         0        -         0  -
  潮差(cm)                   -         0        -         0  -
  月齢(日)                    -         0        -         0  -
  満潮1水位(cm)                -         0        -         0  -
  干潮1水位(cm)                -         0        -         0  -

=== アジ × 勘次郎丸  (日次n=513, 週次n=153) ===
  風速(m/s)             -0.027       513   -0.038       153  －   非有意
  風向(度)               -0.075       513   -0.150       153  －   非有意
  気温(℃)               +0.032       513   +0.025       153  －   非有意
  気圧(hPa)             +0.088*      513   +0.029       153  －   非有意
  波高(m)               -0.102*      513   -0.097       153  △   週次で消滅（疑似反復の疑い）
  波周期(s)              -0.022       513   +0.069       153  －   非有意
  うねり高(m)             -0.122**     513   -0.096       153  △   週次で消滅（疑似反復の疑い）
  水温(℃)               +0.100*      508   +0.086       151  △   週次で消滅（疑似反復の疑い）
  海流速(km/h)           -0.022       509   -0.071       153  －   非有意
  潮差(cm)              +0.040       513   +0.135       153  －   非有意
  月齢(日)               +0.010       513   -0.008       153  －   非有意
  満潮1水位(cm)           -0.057       513   +0.046       153  －   非有意
  干潮1水位(cm)           -0.103*      513   -0.183*      153  ★★  やや堅牢

=== アジ × 吉久  (日次n=115, 週次n=63) ===
  風速(m/s)             +0.140       115   +0.202        63  －   非有意
  風向(度)               -0.127       115   -0.173        63  －   非有意
  気温(℃)               -0.087       115   -0.230        63  －   非有意
  気圧(hPa)             +0.128       115   +0.176        63  －   非有意
  波高(m)               -0.041       115   +0.070        63  －   非有意
  波周期(s)              -0.184*      115   -0.219        63  △   週次で消滅（疑似反復の疑い）
  うねり高(m)             -0.201*      115   -0.122        63  △   週次で消滅（疑似反復の疑い）
  水温(℃)               +0.005       114   -0.129        62  －   非有意
  海流速(km/h)           +0.072       115   +0.148        63  －   非有意
  潮差(cm)              +0.235*      115   +0.279*       63  ★★★ 堅牢
  月齢(日)               -0.094       115   -0.034        63  －   非有意
  満潮1水位(cm)           +0.251**     115   +0.285*       63  ★★★ 堅牢
  干潮1水位(cm)           +0.011       115   -0.023        63  －   非有意

=== アジ × 吉野屋  (日次n=74, 週次n=13) ===
  風速(m/s)             -0.238*       74   -0.012        13  △   週次で消滅（疑似反復の疑い）
  風向(度)               +0.216        74   +0.393        13  －   非有意
  気温(℃)               +0.190        74   +0.513*       13  ◇   週次のみ有意
  気圧(hPa)             +0.132        74   -0.510*       13  ◇   週次のみ有意
  波高(m)               -0.316**      74   +0.190        13  △   週次で消滅（疑似反復の疑い）
  波周期(s)              -0.142        74   -0.084        13  －   非有意
  うねり高(m)             -0.287*       74   +0.134        13  △   週次で消滅（疑似反復の疑い）
  水温(℃)               -0.377***     74   +0.375        13  △   週次で消滅（疑似反復の疑い）
  海流速(km/h)           -0.144        74   +0.418        13  －   非有意
  潮差(cm)              +0.333**      74   +0.233        13  △   週次で消滅（疑似反復の疑い）
  月齢(日)               -0.106        74   -0.167        13  －   非有意
  満潮1水位(cm)           +0.375***     74   +0.403        13  △   週次で消滅（疑似反復の疑い）
  干潮1水位(cm)           +0.126        74   +0.054        13  －   非有意

=== アジ × 山下丸  (日次n=280, 週次n=69) ===
  風速(m/s)             -0.098       280   -0.145        69  －   非有意
  風向(度)               -0.031       280   -0.185        69  －   非有意
  気温(℃)               +0.023       280   +0.026        69  －   非有意
  気圧(hPa)             -0.098       280   -0.181        69  －   非有意
  波高(m)               -0.041       280   -0.124        69  －   非有意
  波周期(s)              +0.180**     280   +0.176        69  △   週次で消滅（疑似反復の疑い）
  うねり高(m)             +0.070       280   +0.094        69  －   非有意
  水温(℃)               -0.019       280   -0.093        69  －   非有意
  海流速(km/h)           +0.018       276   -0.130        69  －   非有意
  潮差(cm)              -0.064       280   -0.175        69  －   非有意
  月齢(日)               -0.003       280   +0.040        69  －   非有意
  満潮1水位(cm)           -0.116       280   -0.233        69  －   非有意
  干潮1水位(cm)           -0.004       280   +0.129        69  －   非有意

=== アジ × 岩崎レンタルボート(岩崎つり具店)  (日次n=55, 週次n=30) ===
  風速(m/s)             +0.671***     25   +0.723***     18  ★★  やや堅牢
  風向(度)               +0.347        25   +0.472*       18  ◇   週次のみ有意
  気温(℃)               +0.374        25   +0.362        18  －   非有意
  気圧(hPa)             -0.301        25   -0.293        18  －   非有意
  波高(m)               +0.398*       25   +0.466*       18  ★★  やや堅牢
  波周期(s)              -0.137        25   -0.185        18  －   非有意
  うねり高(m)             -0.144        25   -0.146        18  －   非有意
  水温(℃)               +0.405*       25   +0.418        18  △   週次で消滅（疑似反復の疑い）
  海流速(km/h)           +0.357        25   +0.445*       18  ◇   週次のみ有意
  潮差(cm)              -0.053        25   -0.138        18  －   非有意
  月齢(日)               +0.013        25   +0.094        18  －   非有意
  満潮1水位(cm)           +0.068        25   +0.050        18  －   非有意
  干潮1水位(cm)           -0.276        25   -0.371        18  －   非有意

=== アジ × 巳之助丸  (日次n=70, 週次n=20) ===
  風速(m/s)             -0.036        70   -0.321        20  －   非有意
  風向(度)               -0.122        70   -0.174        20  －   非有意
  気温(℃)               +0.218        70   +0.461*       20  ◇   週次のみ有意
  気圧(hPa)             -0.047        70   +0.243        20  －   非有意
  波高(m)               +0.018        70   -0.184        20  －   非有意
  波周期(s)              +0.102        70   +0.549**      20  ◇   週次のみ有意
  うねり高(m)             +0.035        70   -0.159        20  －   非有意
  水温(℃)               +0.207        70   +0.436*       20  ◇   週次のみ有意
  海流速(km/h)           +0.084        70   -0.167        20  －   非有意
  潮差(cm)              -0.075        70   -0.559**      20  ◇   週次のみ有意
  月齢(日)               -0.050        70   +0.102        20  －   非有意
  満潮1水位(cm)           -0.129        70   -0.361        20  －   非有意
  干潮1水位(cm)           -0.124        70   -0.082        20  －   非有意

=== アジ × 平安丸  (日次n=141, 週次n=57) ===
  風速(m/s)             -0.181*      141   -0.340**      57  ★   r差大
  風向(度)               +0.030       141   +0.241        57  －   非有意
  気温(℃)               -0.210*      141   -0.389**      57  ★   r差大
  気圧(hPa)             +0.322***    141   +0.489***     57  ★   r差大
  波高(m)               -0.121       141   -0.208        57  －   非有意
  波周期(s)              +0.147       141   +0.097        57  －   非有意
  うねり高(m)             -0.078       141   -0.117        57  －   非有意
  水温(℃)               -0.132       141   -0.304*       57  ◇   週次のみ有意
  海流速(km/h)           +0.129       138   +0.070        56  －   非有意
  潮差(cm)              +0.005       141   +0.147        57  －   非有意
  月齢(日)               +0.086       141   +0.135        57  －   非有意
  満潮1水位(cm)           -0.032       141   +0.011        57  －   非有意
  干潮1水位(cm)           +0.015       141   -0.077        57  －   非有意

=== アジ × 庄治郎丸  (日次n=797, 週次n=154) ===
  風速(m/s)             -0.052       797   -0.108       154  －   非有意
  風向(度)               -0.005       797   +0.140       154  －   非有意
  気温(℃)               +0.059       797   +0.119       154  －   非有意
  気圧(hPa)             -0.005       797   -0.174*      154  ◇   週次のみ有意
  波高(m)               +0.015       797   +0.046       154  －   非有意
  波周期(s)              +0.085*      796   +0.066       154  －   非有意
  うねり高(m)             +0.024       797   +0.064       154  －   非有意
  水温(℃)               +0.032       789   +0.032       152  －   非有意
  海流速(km/h)           -0.019       792   +0.006       154  －   非有意
  潮差(cm)              -0.034       797   -0.037       154  －   非有意
  月齢(日)               +0.012       797   -0.009       154  －   非有意
  満潮1水位(cm)           +0.007       797   +0.104       154  －   非有意
  干潮1水位(cm)           +0.053       797   +0.065       154  －   非有意

=== アジ × 恒丸  (日次n=139, 週次n=74) ===
  風速(m/s)             -0.089       139   +0.076        74  －   非有意
  風向(度)               -0.033       139   -0.237*       74  ◇   週次のみ有意
  気温(℃)               +0.007       139   -0.040        74  －   非有意
  気圧(hPa)             +0.043       139   +0.038        74  －   非有意
  波高(m)               -0.072       139   -0.110        74  －   非有意
  波周期(s)              +0.061       139   +0.041        74  －   非有意
  うねり高(m)             -0.005       139   -0.076        74  －   非有意
  水温(℃)               -0.114       137   -0.118        73  －   非有意
  海流速(km/h)           +0.182*      139   +0.149        74  △   週次で消滅（疑似反復の疑い）
  潮差(cm)              +0.005       139   +0.051        74  －   非有意
  月齢(日)               -0.043       139   -0.042        74  －   非有意
  満潮1水位(cm)           +0.111       139   +0.132        74  －   非有意
  干潮1水位(cm)           +0.091       139   +0.110        74  －   非有意

=== アジ × 村井丸  (日次n=320, 週次n=97) ===
  風速(m/s)             -0.014       320   +0.020        97  －   非有意
  風向(度)               -0.028       320   -0.083        97  －   非有意
  気温(℃)               +0.019       320   -0.142        97  －   非有意
  気圧(hPa)             +0.011       320   +0.122        97  －   非有意
  波高(m)               -0.008       320   +0.055        97  －   非有意
  波周期(s)              -0.003       320   +0.030        97  －   非有意
  うねり高(m)             +0.001       320   +0.086        97  －   非有意
  水温(℃)               +0.060       313   -0.077        96  －   非有意
